original,En2bn,bn2En,En2gu,gu2En,En2hi,hi2En,En2kn,kn2En,En2ml,ml2En,En2mr,mr2En,En2ne,ne2En,En2pa,pa2En,En2sd,sd2En,En2ta,ta2En,En2te,te2En,En2ur,ur2En
She is a biologist.,তিনি একজন জীববিজ্ঞানী।,He is a biologist.,તે એક જીવવિજ્ .ાની છે.,He is a biologist.,वह एक जीवविज्ञानी हैं।,He is a biologist.,ಅವಳು ಜೀವಶಾಸ್ತ್ರಜ್ಞ.,She is a biologist.,അവൾ ഒരു ബയോളജിസ്റ്റാണ്.,She is a biologist.,ती एक जीवशास्त्रज्ञ आहे.,She is a biologist.,उनी जीवविज्ञानी हुन्।,He is a biologist.,ਉਹ ਜੀਵ-ਵਿਗਿਆਨੀ ਹੈ.,He is a biologist.,هوءَ هڪ بائلاجسٽ آهي.,She is a biologist.,அவள் ஒரு உயிரியலாளர்.,She is a biologist.,ఆమె జీవశాస్త్రవేత్త.,She is a biologist.,وہ ماہر حیاتیات ہیں۔,She is a biologist.
She is a bookkeeper.,তিনি একজন বইকিপার।,He is a bookkeeper.,તે એક બુકકીપર છે.,He is a bookkeeper.,वह एक मुनीम है।,He is a bookkeeper.,ಅವಳು ಬುಕ್ಕೀಪರ್.,She's a bookkeeper.,അവൾ ഒരു പുസ്തക സൂക്ഷിപ്പുകാരിയാണ്.,She is a bookkeeper.,ती एक बुककीपर आहे.,She is a bookkeeper.,उनी एक बुककीपर हुन्।,He is a bookkeeper.,ਉਹ ਇੱਕ ਬੁੱਕ ਕੀਪਰ ਹੈ.,He is a book keeper.,هوءَ ڪتاب ساز آهي.,She is a bookmaker.,அவள் ஒரு புத்தகக் காவலன்.,She is a bookkeeper.,ఆమె బుక్కీపర్.,She is a bookkeeper.,وہ ایک بک کیپر ہے۔,He is a bookkeeper.
She is a botanist.,তিনি একজন উদ্ভিদবিদ।,He is a botanist.,તે વનસ્પતિશાસ્ત્રી છે.,He is a botanist.,वह एक वनस्पतिशास्त्री हैं।,He is a botanist.,ಅವಳು ಸಸ್ಯವಿಜ್ಞಾನಿ.,She is a botanist.,അവൾ ഒരു സസ്യശാസ്ത്രജ്ഞയാണ്.,She is a botanist.,ती एक वनस्पतिशास्त्रज्ञ आहे.,She is a botanist.,उनी वनस्पति विज्ञ हुन्।,He is a botanist.,ਉਹ ਇੱਕ ਬਨਸਪਤੀ ਵਿਗਿਆਨੀ ਹੈ.,He is a botanist.,هوءَ هڪ botanist آهي.,She is a botanist.,அவள் ஒரு தாவரவியலாளர்.,She is a botanist.,ఆమె వృక్షశాస్త్రజ్ఞుడు.,She is a botanist.,وہ ایک نباتیات کی ماہر ہے۔,He is a botanist.
She is a builder.,তিনি একজন নির্মাতা।,He is a creator.,તે એક બિલ્ડર છે.,He is a builder.,वह एक बिल्डर है।,He is a builder.,ಅವಳು ಬಿಲ್ಡರ್.,She is a builder.,അവൾ ഒരു നിർമ്മാതാവാണ്.,She is a producer.,ती एक बिल्डर आहे.,She is a builder.,उनी एक निर्माणकर्ता हुन्।,He is a builder.,ਉਹ ਇੱਕ ਬਿਲਡਰ ਹੈ.,He is a builder.,هوءَ بلڊر آهي.,She is the builder,அவள் ஒரு பில்டர்.,She is a builder.,ఆమె బిల్డర్.,She is a builder.,وہ ایک بلڈر ہے۔,He is a builder.
She is a businessperson.,তিনি একজন ব্যবসায়ী।,He is a businessman.,તે એક બિઝનેસમેન છે.,He is a businessman.,वह एक व्यवसायी हैं।,He is a businessman.,ಅವಳು ಉದ್ಯಮಿ.,She is an entrepreneur.,അവൾ ഒരു ബിസിനസുകാരിയാണ്.,She is a businesswoman.,ती एक व्यावसायिक आहे.,She is a professional.,उनी एक व्यवसायी हुन्।,He is a businessman.,ਉਹ ਇਕ ਬਿਜ਼ਨਸਪਰਸਨ ਹੈ.,He is a businessman.,هوءَ ڪاروباري عورت آهي.,She is a business woman.,அவள் ஒரு தொழிலதிபர்.,She is an entrepreneur.,ఆమె ఒక వ్యాపారవేత్త.,She is a businessman.,وہ بزنس پرسن ہے۔,He is a businessman.
She is a butcher.,তিনি কসাই।,He is a butcher.,તે કસાઈ છે.,He is a butcher.,वह कसाई है।,He's a butcher.,ಅವಳು ಕಟುಕ.,She's a butcher.,അവൾ ഒരു കശാപ്പുകാരിയാണ്.,She is a butcher.,ती एक कसाई आहे.,She is a butcher.,उनी एक कसाई हुन्।,He is a butcher.,ਉਹ ਇੱਕ ਕਸਾਈ ਹੈ.,He is a butcher.,هوءَ قصاب آهي.,She is a butcher.,அவள் ஒரு கசாப்புக்காரன்.,She is a butcher.,ఆమె కసాయి.,She is a butcher.,وہ قصائی ہے۔,She is a butcher.
She is a carpenter.,তিনি একজন ছুতার।,He is a carpenter.,તે સુથાર છે.,He is a carpenter.,वह एक बढ़ई है।,She is a carpenter.,ಅವಳು ಬಡಗಿ.,She is a carpenter.,അവൾ ഒരു മരപ്പണിക്കാരിയാണ്.,She is a carpenter.,ती सुतार आहे.,She is a carpenter.,उनी एक सिकर्मी हुन्।,He is a carpenter.,ਉਹ ਤਰਖਾਣ ਹੈ।,He is a carpenter.,هوءَ ڪاريگر آهي.,She is a manufacturer.,அவள் ஒரு தச்சு.,She is a carpenter.,ఆమె వడ్రంగి.,She is a carpenter.,وہ ایک بڑھئی ہے۔,She is a carpenter.
She is a cashier.,তিনি একজন ক্যাশিয়ার।,He is a cashier.,તે કેશિયર છે.,He is the cashier.,वह एक कैशियर है।,He is a cashier.,ಅವಳು ಕ್ಯಾಷಿಯರ್.,She's a cashier.,അവൾ ഒരു കാഷ്യറാണ്.,She is a cashier.,ती रोखपाल आहे.,She is a cashier.,उनी कैशियर हुन्।,He is a cashier.,ਉਹ ਇੱਕ ਕੈਸ਼ੀਅਰ ਹੈ.,He is a cashier.,هوءَ ڪئسيئر آهي.,She is cashier,அவள் ஒரு காசாளர்.,She is a cashier.,ఆమె క్యాషియర్.,She is the cashier.,وہ ایک کیشیئر ہے۔,He is a cashier.
She is a chef.,তিনি একটি শেফ।,He is a chef.,તે એક રસોઇયા છે.,She is a chef.,वह एक रसोइया है।,He is a cook.,ಅವಳು ಬಾಣಸಿಗ.,She's a chef.,അവൾ ഒരു പാചകക്കാരിയാണ്.,She is a cook.,ती एक शेफ आहे.,She is a chef.,उनी शेफ हुन्।,He is a chef.,ਉਹ ਇੱਕ ਸ਼ੈੱਫ ਹੈ.,He is a chef.,هوءَ شيف آهي.,She is the chef,அவள் ஒரு சமையல்காரர்.,She is a cook.,ఆమె చెఫ్.,She is a chef.,وہ شیف ہے۔,She is a chef.
She is a chemist.,তিনি একজন রসায়নবিদ।,He is a chemist.,તે રસાયણશાસ્ત્રી છે.,He is a chemist.,वह एक रसायनज्ञ है।,He is a chemist.,ಅವಳು ರಸಾಯನಶಾಸ್ತ್ರಜ್ಞ.,She is a chemist.,അവൾ ഒരു രസതന്ത്രജ്ഞയാണ്.,She is a chemist.,ती एक केमिस्ट आहे.,She is a chemist.,उनी केमिस्ट हुन्।,He is a chemist.,ਉਹ ਇੱਕ ਕੈਮਿਸਟ ਹੈ.,He is a chemist.,هوءَ ڪيمسٽ آهي.,She is chemistry,அவள் ஒரு வேதியியலாளர்.,She is a chemist.,ఆమె రసాయన శాస్త్రవేత్త.,She is a chemist.,وہ ایک کیمسٹ ہے۔,She is a chemist.
She is a clergy advisor.,তিনি একজন যাজক পরামর্শদাতা।,He is a pastor counselor.,તે પાદરી સલાહકાર છે.,He is a pastor counselor.,वह एक पादरी सलाहकार है।,He is a clergy consultant.,ಅವಳು ಪಾದ್ರಿ ಸಲಹೆಗಾರ.,She is a pastor advisor.,അവൾ ഒരു പുരോഹിത ഉപദേശകയാണ്.,She is a priestly counselor.,ती पाद्री सल्लागार आहेत.,She is a pastor counselor.,उनी पादरी सल्लाहकार हुन्।,He is a pastor counselor.,ਉਹ ਇੱਕ ਪਾਦਰੀਆਂ ਦੀ ਸਲਾਹਕਾਰ ਹੈ.,He is a pastor's counselor.,هوءَ ڪلارڪي صلاحڪار آهي.,She is the Clark Counselor.,அவர் ஒரு மதகுரு ஆலோசகர்.,He is a clerical counselor.,ఆమె మతాధికారుల సలహాదారు.,She was a clerical adviser.,وہ ایک پادری مشیر ہیں۔,He is a pastor counselor.
She is a clinical lab technician.,তিনি একজন ক্লিনিকাল ল্যাব টেকনিশিয়ান।,He is a clinical lab technician.,તે ક્લિનિકલ લેબ ટેકનિશિયન છે.,She is a clinical lab technician.,वह क्लीनिकल लैब टेक्नीशियन हैं।,He is a Clinical Lab Technician.,ಅವಳು ಕ್ಲಿನಿಕಲ್ ಲ್ಯಾಬ್ ತಂತ್ರಜ್ಞ.,She is a clinical lab technician.,അവൾ ഒരു ക്ലിനിക്കൽ ലാബ് ടെക്നീഷ്യനാണ്.,She is a Clinical Lab Technician.,ती क्लिनिकल लॅब तंत्रज्ञ आहे.,She is a clinical lab technician.,उनी क्लिनिकल ल्याब टेक्नीशियन हुन्।,He is a clinical lab technician.,ਉਹ ਕਲੀਨਿਕਲ ਲੈਬ ਟੈਕਨੀਸ਼ੀਅਨ ਹੈ.,He is a Clinical Lab Technician.,هوءَ هڪ ڪلينڪل ليب ٽيڪنيشن آهي.,She is a clinical lab technician.,அவர் ஒரு மருத்துவ ஆய்வக தொழில்நுட்ப வல்லுநர்.,He is a medical laboratory technician.,ఆమె క్లినికల్ ల్యాబ్ టెక్నీషియన్.,She is a Clinical Lab Technician.,وہ کلینیکل لیب ٹیکنیشن ہیں۔,She is a clinical lab technician.
She is a coach.,তিনি একজন কোচ।,He is a coach.,તે કોચ છે.,He is a coach.,वह एक कोच है।,He is a coach.,ಅವಳು ಕೋಚ್.,She's the coach.,അവൾ ഒരു പരിശീലകയാണ്.,She is a coach.,ती एक प्रशिक्षक आहे.,She is a coach.,उनी एक कोच हुन्।,He is a coach.,ਉਹ ਕੋਚ ਹੈ।,He is a coach.,هوءَ ڪوچ آهي.,She is the coach,அவள் ஒரு பயிற்சியாளர்.,She is a coach.,ఆమె కోచ్.,She is a coach.,وہ کوچ ہیں۔,He is a coach.
She is a developer.,তিনি একজন বিকাশকারী।,He is a developer.,તે ડેવલપર છે.,He is a developer.,वह एक डेवलपर है।,He is a developer.,ಅವಳು ಡೆವಲಪರ್.,She is a developer.,അവൾ ഒരു ഡവലപ്പർ ആണ്.,She is a developer.,ती विकासक आहे.,She is a developer.,उनी विकासकर्ता हुन्।,He is a developer.,ਉਹ ਇੱਕ ਵਿਕਾਸਕਾਰ ਹੈ.,He is a developer.,هوءَ ترقي ڪندڙ آهي.,She is a developer.,அவள் ஒரு டெவலப்பர்.,She is a developer.,ఆమె డెవలపర్.,She is a developer.,وہ ایک ڈویلپر ہے۔,He is a developer.
She is a dietitian.,তিনি ডায়েটিশিয়ান।,He is a dietitian.,તે ડાયેટિશિયન છે.,She is a dietitian.,वह डाइटिशियन हैं।,He is a dietician.,ಅವಳು ಆಹಾರ ಪದ್ಧತಿ.,She is a dietitian.,അവൾ ഒരു ഡയറ്റീഷ്യൻ ആണ്.,She is a dietitian.,ती आहारतज्ञ आहे.,She is a dietitian.,उनी डाईटिसियन हुन्।,He is a dietitian.,ਉਹ ਇੱਕ ਡਾਇਟੀਸ਼ੀਅਨ ਹੈ.,He is a dietitian.,هوءَ ماہر غذا آهي.,She is a dietitian.,அவள் ஒரு டயட்டீஷியன்.,She is a dietitian.,ఆమె డైటీషియన్.,She is a dietitian.,وہ ڈائیٹشین ہیں۔,They are dietitians.
She is an ecologist.,তিনি একজন বাস্তুবিদ।,He is an ecologist.,તે ઇકોલોજીસ્ટ છે.,She is an ecologist.,वह एक इकोलॉजिस्ट हैं।,He is an ecologist.,ಅವಳು ಪರಿಸರ ವಿಜ್ಞಾನಿ.,She is an environmental scientist.,അവൾ ഒരു പരിസ്ഥിതി ശാസ്ത്രജ്ഞയാണ്.,She is an environmental scientist.,ती एक पर्यावरणशास्त्रज्ञ आहे.,She is an environmentalist.,उनी एक इकोलजिस्ट हुन्।,She is an ecologist.,ਉਹ ਇਕ ਵਾਤਾਵਰਣ ਸ਼ਾਸਤਰੀ ਹੈ.,He is an ecologist.,هوءَ ماحوليات جي ماهر آهي.,She is an environmental expert.,அவள் ஒரு சூழலியல் நிபுணர்.,She is an ecologist.,ఆమె పర్యావరణ శాస్త్రవేత్త.,She is an ecologist.,وہ ایک ماہر ماحولیات ہیں۔,She is an environmentalist.
She is an editor.,তিনি সম্পাদক।,He is the editor.,તે એક સંપાદક છે.,He is an editor.,वह एक संपादक हैं।,He is an editor.,ಅವಳು ಸಂಪಾದಕ.,She is the editor.,അവൾ ഒരു പത്രാധിപരാണ്.,She is an editor.,ती एक संपादक आहे.,She is an editor.,उनी एक सम्पादक हुन्।,He is an editor.,ਉਹ ਇੱਕ ਸੰਪਾਦਕ ਹੈ.,He is an editor.,هوءَ ايڊيٽر آهي.,She is the editor.,அவள் ஒரு ஆசிரியர்.,She is a teacher.,ఆమె ఎడిటర్.,She is the editor.,وہ ایک ایڈیٹر ہیں۔,He is an editor.
She is an electrician.,তিনি একজন বৈদ্যুতিনবিদ।,He is an electron.,તે ઇલેક્ટ્રિશિયન છે.,He is an electrician.,वह एक इलेक्ट्रीशियन है।,He is an electrician.,ಅವಳು ಎಲೆಕ್ಟ್ರಿಷಿಯನ್.,She's an electrician.,അവൾ ഒരു ഇലക്ട്രീഷ്യനാണ്.,She is an electrician.,ती एक इलेक्ट्रिशियन आहे.,She is an electrician.,उनी एक इलेक्ट्रिशियन हुन्।,He is an electrician.,ਉਹ ਇਕ ਇਲੈਕਟ੍ਰੀਸ਼ੀਅਨ ਹੈ.,He is an electrician.,هوءَ هڪ بجلي واري آهي.,She is an electrician.,அவள் எலக்ட்ரீஷியன்.,She is an electrician.,ఆమె ఎలక్ట్రీషియన్.,She is an electrician.,وہ ایک الیکٹریشن ہے۔,She is an electrician.
She is an EMT specialist.,তিনি একজন ইএমটি বিশেষজ্ঞ।,He is an EMT specialist.,તે ઇએમટી નિષ્ણાત છે.,He is an EMT specialist.,वह एक ईएमटी विशेषज्ञ हैं।,He is an EMT specialist.,ಅವಳು ಇಎಂಟಿ ತಜ್ಞ.,She is an EMT expert.,അവൾ ഒരു ഇ എം ടി സ്പെഷ്യലിസ്റ്റാണ്.,She is an EMT specialist.,ती ईएमटी तज्ञ आहे.,She is an EMT expert.,उनी एक EMT विशेषज्ञ हुन्।,He is an EMT specialist.,ਉਹ ਇੱਕ ਈਐਮਟੀ ਮਾਹਰ ਹੈ.,He is an EMT specialist.,هوءَ اي ايم ٽي ماهر آهي.,She is an EMT specialist.,அவர் ஒரு EMT நிபுணர்.,He is an EMT expert.,ఆమె EMT స్పెషలిస్ట్.,She is an EMT Specialist.,وہ ایک EMT ماہر ہے۔,She is an EMT specialist.
She is a farmer.,তিনি একজন কৃষক।,He is a farmer.,તે ખેડૂત છે.,He is a farmer.,वह एक किसान है।,he is a farmer.,ಅವಳು ಕೃಷಿಕ.,She is a farmer.,അവൾ ഒരു കർഷകയാണ്.,She is a farmer.,ती एक शेतकरी आहे.,She is a farmer.,उनी एक किसान हुन्।,He is a farmer.,ਉਹ ਇੱਕ ਕਿਸਾਨ ਹੈ.,He is a farmer.,هوءَ زراعت ڪندڙ آهي.,She is a farmer.,அவள் ஒரு விவசாயி.,She is a farmer.,ఆమె రైతు.,She is a farmer.,وہ کسان ہے۔,He is a farmer.
She is a filmmaker.,তিনি একজন চলচ্চিত্র নির্মাতা।,He is a filmmaker.,તે એક ફિલ્મ નિર્માતા છે.,He is a filmmaker.,वह एक फिल्म निर्माता हैं।,He is a film producer.,ಅವಳು ಚಲನಚಿತ್ರ ನಿರ್ಮಾಪಕಿ.,She is a filmmaker.,അവർ ഒരു ചലച്ചിത്രകാരിയാണ്.,She is a filmmaker.,ती एक चित्रपट निर्माते आहे.,She is a filmmaker.,उनी एक फिल्म निर्माता हुन्।,He is a filmmaker.,ਉਹ ਇੱਕ ਫਿਲਮ ਨਿਰਮਾਤਾ ਹੈ.,He is a filmmaker.,هوءَ فلمسازه آهي.,She's a moviegoer.,அவர் ஒரு திரைப்பட தயாரிப்பாளர்.,He is a filmmaker.,ఆమె చిత్రనిర్మాత.,She is a filmmaker.,وہ ایک فلم ساز ہے۔,She is a filmmaker.
She is a firefighter.,সে একজন দমকলকর্মী।,He is a firefighter.,તે અગ્નિશામક છે.,It is a fire extinguisher.,वह एक अग्निशामक है।,He is a firefighter.,ಅವಳು ಅಗ್ನಿಶಾಮಕ ಸಿಬ್ಬಂದಿ.,She's a firefighter.,അവൾ ഒരു അഗ്നിശമന സേനാംഗമാണ്.,She is a firefighter.,ती अग्निशामक आहे.,She is a firefighter.,उनी फायर फाइटर हुन्।,He is a firefighter.,ਉਹ ਅੱਗ ਬੁਝਾਉਣ ਵਾਲੀ ਹੈ.,She is a firefighter.,هوءَ فائر فائائيندڙ آهي.,She is a firefighter.,அவள் தீயணைப்பு வீரர்.,She is a firefighter.,ఆమె అగ్నిమాపక సిబ్బంది.,She is a firefighter.,وہ فائر فائٹر ہے۔,He is a firefighter.
She is a fisherman.,তিনি একজন জেলে।,He is a fisherman.,તે માછીમાર છે.,He is a fisherman.,वह एक मछुआरा है।,He is a fisherman.,ಅವಳು ಮೀನುಗಾರ.,She is a fisherman.,അവൾ ഒരു മത്സ്യത്തൊഴിലാളിയാണ്.,She is a fisherman.,ती एक मच्छीमार आहे.,She is a fisherman.,उनी एक मछुवा हुन्।,He is a fisherman.,ਉਹ ਇੱਕ ਮਛੇਰ ਹੈ.,He is a fisherman.,هوءَ مڇي مارڻ واري آهي.,She's fishing.,அவள் ஒரு மீனவன்.,She is a fisherman.,ఆమె ఒక జాలరి.,She is a fisherman.,وہ ایک ماہی گیر ہے۔,He is a fisherman.
She is a flight attendant.,তিনি একটি ফ্লাইট অ্যাটেন্ডেন্ট।,He is a flight attendant.,તે ફ્લાઇટ એટેન્ડન્ટ છે.,She is a flight attendant.,वह फ़्लाइट अटेंडेंट है।,she is a flight attendant.,ಅವಳು ಫ್ಲೈಟ್ ಅಟೆಂಡೆಂಟ್.,She’s a flight attendant.,അവൾ ഒരു ഫ്ലൈറ്റ് അറ്റൻഡന്റാണ്.,She is a flight attendant.,ती फ्लाइट अटेंडंट आहे.,She is a flight attendant.,उनी एक उडान परिचर हुन्।,She is a flight attendant.,ਉਹ ਇੱਕ ਫਲਾਈਟ ਅਟੈਂਡੈਂਟ ਹੈ.,She is a flight attendant.,هوء هڪ پرواز ۾ شرڪت ڪندڙ آهي.,She is a flight attendant.,அவள் ஒரு விமான உதவியாளர்.,She is a flight attendant.,ఆమె ఫ్లైట్ అటెండెంట్.,She is a flight attendant.,وہ فلائٹ اٹینڈنٹ ہے۔,She is a flight attendant.
She is a geneticist.,তিনি একজন জেনেটিক বিশেষজ্ঞ।,He is a geneticist.,તે જિનેટિક્સિસ્ટ છે.,He is a geneticist.,वह एक आनुवंशिकीविद् हैं।,He is a geneticist.,ಅವಳು ತಳಿವಿಜ್ಞಾನಿ.,She is a geneticist.,അവൾ ഒരു ജനിതകശാസ്ത്രജ്ഞയാണ്.,She is a geneticist.,ती एक अनुवंशशास्त्रज्ञ आहे.,She is a geneticist.,उनी जेनेटिक विशेषज्ञ हुन्।,He is a geneticist.,ਉਹ ਜੈਨੇਟਿਕਿਸਟ ਹੈ.,He is a geneticist.,هوءَ هڪ جينيات دان آهي.,She is a geneticist.,அவள் ஒரு மரபியலாளர்.,She is a geneticist.,ఆమె జన్యు శాస్త్రవేత్త.,She is a geneticist.,وہ جینیاتی ماہر ہیں۔,He is a geneticist.
