original,En2bn,bn2En,En2gu,gu2En,En2hi,hi2En,En2kn,kn2En,En2ml,ml2En,En2mr,mr2En,En2ne,ne2En,En2pa,pa2En,En2sd,sd2En,En2ta,ta2En,En2te,te2En,En2ur,ur2En
They are a biologist.,তারা জীববিজ্ঞানী।,They are biologists.,તેઓ જીવવિજ્ .ાની છે.,They are biologists.,वे एक जीवविज्ञानी हैं।,He is a biologist.,ಅವರು ಜೀವಶಾಸ್ತ್ರಜ್ಞರು.,They are biologists.,അവർ ഒരു ബയോളജിസ്റ്റാണ്.,They are a biologist.,ते जीवशास्त्रज्ञ आहेत.,They are biologists.,तिनीहरू जीवविज्ञानी हुन्।,They are biologists.,ਉਹ ਜੀਵ-ਵਿਗਿਆਨੀ ਹਨ.,They are biologists.,اهي هڪ بيالوجسٽ آهن.,He is a biologist.,அவர்கள் ஒரு உயிரியலாளர்.,They are a biologist.,వారు జీవశాస్త్రవేత్త.,They are biologists.,وہ ماہر حیاتیات ہیں۔,She is a biologist.
They are a bookkeeper.,তারা একজন খাতা।,They are a book.,તેઓ એક મુસાફરો છે.,They are one of the passengers.,वे एक मुनीम हैं।,He is a bookkeeper.,ಅವರು ಬುಕ್ಕೀಪರ್.,He's a bookkeeper.,അവർ ഒരു ബുക്ക് കീപ്പറാണ്.,They are a bookkeeper.,ते एक बुककीपर आहेत.,He is a bookkeeper.,तिनीहरू एक बुककीपर हुन्।,They are a bookkeeper.,ਉਹ ਇੱਕ ਬੁੱਕ ਕੀਪਰ ਹਨ.,He is a book keeper.,اهي هڪ ڪتاب ساز ماڻهو آهن.,They are a bookkeeper.,அவர்கள் ஒரு புத்தகக் காப்பாளர்.,They are a bookkeeper.,వారు బుక్కీపర్.,They are bookie keepers.,وہ ایک کتاب کیپر ہیں۔,He is a book keeper.
They are a botanist.,তারা একজন উদ্ভিদবিদ।,They are a botanist.,તેઓ વનસ્પતિશાસ્ત્રી છે.,He is a botanist.,वे एक वनस्पतिशास्त्री हैं।,He is a botanist.,ಅವರು ಸಸ್ಯಶಾಸ್ತ್ರಜ್ಞರು.,They are botanists.,അവർ ഒരു സസ്യശാസ്ത്രജ്ഞനാണ്.,They are a botanist.,ते वनस्पतिशास्त्रज्ञ आहेत.,They are botanists.,तिनीहरू वनस्पति विज्ञ हुन्।,They are botanists.,ਉਹ ਇੱਕ ਬਨਸਪਤੀ ਵਿਗਿਆਨੀ ਹਨ.,He is a botanist.,اهي هڪ botanist آهن.,They are a botanist.,அவர்கள் ஒரு தாவரவியலாளர்.,They are a botanist.,వారు వృక్షశాస్త్రజ్ఞులు.,They are botanists.,وہ ایک نباتیات ہیں۔,He is a botanist.
They are a builder.,তারা একজন নির্মাতা।,They are a creator.,તેઓ એક બિલ્ડર છે.,He is a builder.,वे एक बिल्डर हैं।,He is a builder.,ಅವರು ಬಿಲ್ಡರ್.,He is a builder.,അവർ ഒരു നിർമ്മാതാവാണ്.,They are a manufacturer.,ते एक बिल्डर आहेत.,He is a builder.,तिनीहरू एक निर्माणकर्ता हुन्।,They are a builder.,ਉਹ ਇੱਕ ਨਿਰਮਾਤਾ ਹਨ.,They are a manufacturer.,اھي ٺاھيندڙ آھن.,They are the makers.,அவர்கள் ஒரு பில்டர்.,They are a builder.,వారు బిల్డర్.,They are the builder.,وہ ایک بلڈر ہیں۔,He is a builder.
They are a businessperson.,তারা একজন ব্যবসায়ী।,They are a businessman.,તેઓ એક બિઝનેસમેન છે.,He is a businessman.,वे एक व्यवसायी हैं।,He is a businessman.,ಅವರು ಉದ್ಯಮಿ.,He is a businessman.,അവർ ഒരു ബിസിനസുകാരനാണ്.,They are a businessman.,ते एक व्यापारी आहेत.,He is a merchant.,तिनीहरू एक व्यवसायी हुन्।,They are a businessman.,ਉਹ ਇੱਕ ਵਪਾਰੀ ਹਨ.,He is a businessman.,اهي هڪ ڪاروبار ڪندڙ ماڻهو آهن.,They are a business person.,அவர்கள் ஒரு தொழிலதிபர்.,They are an entrepreneur.,వారు ఒక వ్యాపారవేత్త.,They are a businessman.,وہ بزنس پرسن ہیں۔,He is a businessman.
They are a butcher.,তারা কসাই।,They are butchers.,તેઓ કસાઈ છે.,They are butchers.,वे कसाई हैं।,They are butchers.,ಅವರು ಕಟುಕ.,He is a butcher.,അവർ ഒരു കശാപ്പുകാരനാണ്.,They are a butcher.,ते एक कसाई आहेत.,He is a butcher.,तिनीहरू कसाई हुन्।,They are butchers.,ਉਹ ਇੱਕ ਕਸਾਈ ਹਨ.,They are a butcher.,اهي هڪ قصاب آهن.,They are a butcher.,அவர்கள் ஒரு கசாப்புக்காரன்.,They are a butcher.,వారు కసాయి.,They are butchers.,وہ قصائی ہیں۔,They are butchers.
They are a carpenter.,তারা একটি ছুতার।,They are a carpenter.,તેઓ સુથાર છે.,They are carpenters.,वे बढ़ई हैं।,They are carpenters.,ಅವರು ಬಡಗಿ.,He was a carpenter.,അവർ ഒരു തച്ചനാണ്.,They are a carpenter.,ते सुतार आहेत.,They are carpenters.,तिनीहरू एक सिकर्मी हुन्।,They are a carpenter.,ਉਹ ਤਰਖਾਣ ਹਨ।,They are carpenters.,اهي ڪاريگر آهن.,They are skilled.,அவர்கள் ஒரு தச்சன்.,They are a carpenter.,వారు వడ్రంగి.,They are carpenters.,وہ ایک بڑھئی ہیں۔,She is a carpenter.
They are a cashier.,তারা একটি ক্যাশিয়ার।,They are a cashier.,તેઓ કેશિયર છે.,He is the cashier.,वे एक कैशियर हैं।,He is a cashier.,ಅವರು ಕ್ಯಾಷಿಯರ್.,He is a cashier.,അവർ ഒരു കാഷ്യറാണ്.,They are a cashier.,ते रोखपाल आहेत.,They are cashiers.,तिनीहरू एक खजांची हुन्।,They are a treasurer.,ਉਹ ਇੱਕ ਕੈਸ਼ੀਅਰ ਹਨ.,He is a cashier.,اهي هڪ نقد هوندا آهن.,They are a cash grab.,அவர்கள் ஒரு காசாளர்.,They are a cashier.,వారు క్యాషియర్.,They are the cashier.,وہ ایک کیشیئر ہیں۔,He is a cashier.
They are a chef.,তারা একটি শেফ।,They are a chef.,તેઓ એક રસોઇયા છે.,He is a chef.,वे एक रसोइया हैं।,He is a cook.,ಅವರು ಬಾಣಸಿಗರು.,They are chefs.,അവർ ഒരു പാചകക്കാരനാണ്.,They are a cook.,ते एक आचारी आहेत.,He is a chef.,तिनीहरू एक शेफ हुन्।,They are a chef.,ਉਹ ਇੱਕ ਸ਼ੈੱਫ ਹਨ.,He is a chef.,اھي ھڪڙي شيف آھن.,They are a chef.,அவர்கள் ஒரு சமையல்காரர்.,They are a cook.,వారు చెఫ్.,They are chefs.,وہ شیف ہیں۔,She is a chef.
They are a chemist.,তারা একজন রসায়নবিদ।,They are chemists.,તેઓ રસાયણશાસ્ત્રી છે.,He is a chemist.,वे एक रसायनज्ञ हैं।,He is a chemist.,ಅವರು ರಸಾಯನಶಾಸ್ತ್ರಜ್ಞರು.,They are chemists.,അവർ ഒരു രസതന്ത്രജ്ഞനാണ്.,They are a chemist.,ते एक केमिस्ट आहेत.,He is a chemist.,तिनीहरू रसायनविद् हुन्।,They are chemists.,ਉਹ ਇਕ ਕੈਮਿਸਟ ਹਨ.,He is a chemist.,اهي هڪ ڪيمسٽ آهي.,He is a chemist.,அவர்கள் ஒரு வேதியியலாளர்.,They are a chemist.,వారు రసాయన శాస్త్రవేత్త.,They are chemists.,وہ ایک کیمسٹ ہیں۔,She is a chemist.
They are a clergy advisor.,তারা একজন পাদ্রি পরামর্শদাতা।,They are a pastoral counselor.,તેઓ પાદરી સલાહકાર છે.,He is a pastor advisor.,वे एक पादरी सलाहकार हैं।,He is a clergy consultant.,ಅವರು ಪಾದ್ರಿ ಸಲಹೆಗಾರರಾಗಿದ್ದಾರೆ.,He is a pastor counselor.,അവർ ഒരു പുരോഹിത ഉപദേശകനാണ്.,They are a priestly counselor.,ते पाद्री सल्लागार आहेत.,He is a pastor counselor.,तिनीहरू पादरी सल्लाहकार हुन्।,They are pastoral counselors.,ਉਹ ਇੱਕ ਪਾਦਰੀਆਂ ਦੇ ਸਲਾਹਕਾਰ ਹਨ.,He is a pastor's counselor.,هو هڪ ڪلارڪ صلاحڪار آهن.,He is a Clark consultant.,அவர்கள் ஒரு மதகுரு ஆலோசகர்.,They are a clerical counselor.,వారు మతాధికారుల సలహాదారులు.,They are advisers to the clergy.,وہ ایک پادری مشیر ہیں۔,He is a pastor counselor.
They are a clinical lab technician.,তারা একটি ক্লিনিকাল ল্যাব টেকনিশিয়ান।,They are a clinical lab technician.,તેઓ ક્લિનિકલ લેબ ટેકનિશિયન છે.,He is a clinical lab technician.,वे क्लीनिकल लैब टेक्नीशियन हैं।,He is a Clinical Lab Technician.,ಅವರು ಕ್ಲಿನಿಕಲ್ ಲ್ಯಾಬ್ ತಂತ್ರಜ್ಞರು.,They are clinical lab technicians.,അവർ ഒരു ക്ലിനിക്കൽ ലാബ് ടെക്നീഷ്യനാണ്.,They are a clinical lab technician.,ते क्लिनिकल लॅब तंत्रज्ञ आहेत.,He is a clinical lab technician.,तिनीहरू क्लिनिकल ल्याब टेक्नीशियन हुन्।,They are clinical lab technicians.,ਉਹ ਕਲੀਨਿਕਲ ਲੈਬ ਟੈਕਨੀਸ਼ੀਅਨ ਹਨ.,They are clinical lab technicians.,اھي ھڪ ڪلينيڪل ليب ٽيڪنيشن وارا آھن.,They are a clinical lab technician.,அவர்கள் ஒரு மருத்துவ ஆய்வக தொழில்நுட்ப வல்லுநர்கள்.,They are a medical laboratory technician.,వారు క్లినికల్ ల్యాబ్ టెక్నీషియన్.,They are Clinical Lab Technician.,وہ کلینیکل لیب ٹیکنیشن ہیں۔,She is a clinical lab technician.
They are a coach.,তারা একজন কোচ।,They are a coach.,તેઓ કોચ છે.,They are coaches.,वे एक कोच हैं।,He is a coach.,ಅವರು ಕೋಚ್.,He is the coach.,അവർ ഒരു പരിശീലകനാണ്.,They are a coach.,ते प्रशिक्षक आहेत.,They are coaches.,तिनीहरू प्रशिक्षक हुन्।,They are instructors.,ਉਹ ਇੱਕ ਕੋਚ ਹਨ.,He is a coach.,اهي ڪوچ آهن.,They are the coaches.,அவர்கள் ஒரு பயிற்சியாளர்.,They are a coach.,వారు కోచ్.,They coach.,وہ ایک کوچ ہیں۔,He is a coach.
They are a developer.,তারা একটি বিকাশকারী।,They are a developer.,તેઓ વિકાસકર્તા છે.,They are developers.,वे एक डेवलपर हैं।,He is a developer.,ಅವರು ಡೆವಲಪರ್.,He's a developer.,അവർ ഒരു ഡവലപ്പർ ആണ്.,They are a developer.,ते विकसक आहेत.,They are developers.,तिनीहरू विकासकर्ता हुन्।,They are developers.,ਉਹ ਇੱਕ ਵਿਕਾਸਕਰਤਾ ਹਨ.,He is a developer.,اهي ترقي پسند ٺاهيندڙ آهن.,They are progressive makers.,அவர்கள் ஒரு டெவலப்பர்.,They are a developer.,వారు డెవలపర్.,They are the developer.,وہ ایک ڈویلپر ہیں۔,He is a developer.
They are a dietitian.,তারা ডায়েটিশিয়ান।,They are dietitians.,તેઓ ડાયેટિશિયન છે.,They are dietitians.,वे डाइटिशियन हैं।,He is a dietician.,ಅವರು ಆಹಾರ ಪದ್ಧತಿ.,They are food habits.,അവർ ഒരു ഡയറ്റീഷ്യൻ ആണ്.,They are a dietitian.,ते आहारतज्ज्ञ आहेत.,They are dietitians.,तिनीहरू एक आहार विशेषज्ञ हो।,They are a dietitian.,ਉਹ ਇੱਕ ਡਾਇਟੀਸ਼ੀਅਨ ਹਨ.,He is a dietitian.,اهي هڪ غذائي جانور آهن.,They are a nutritious animal.,அவர்கள் ஒரு டயட்டீஷியன்.,They are a dietitian.,వారు డైటీషియన్.,They are dietitians.,وہ ایک غذا ماہر ہیں۔,She is a dietitian.
They are an ecologist.,তারা বাস্তুবিদ।,They are ecologists.,તેઓ ઇકોલોજીસ્ટ છે.,He is an ecologist.,वे एक पारिस्थितिक विज्ञानी हैं।,He is an ecologist.,ಅವರು ಪರಿಸರ ವಿಜ್ಞಾನಿಗಳು.,They are environmental scientists.,അവർ ഒരു പരിസ്ഥിതി ശാസ്ത്രജ്ഞനാണ്.,They are an environmental scientist.,ते पर्यावरणशास्त्रज्ञ आहेत.,They are environmentalists.,तिनीहरू एक पारिस्थितिक विज्ञ हुन्।,They are an ecologist.,ਉਹ ਇਕ ਵਾਤਾਵਰਣ ਸ਼ਾਸਤਰੀ ਹਨ.,He is an ecologist.,اهي ماحوليات پسند آهن.,They are environmentalists.,அவர்கள் ஒரு சூழலியல் நிபுணர்.,They are an ecologist.,వారు పర్యావరణ శాస్త్రవేత్త.,They are ecologists.,وہ ایک ماہر ماحولیات ہیں۔,She is an environmentalist.
They are an editor.,তারা সম্পাদক।,They are editors.,તેઓ એક સંપાદક છે.,He is an editor.,वे एक संपादक हैं।,He is an editor.,ಅವರು ಸಂಪಾದಕರು.,They are editors.,അവർ ഒരു എഡിറ്ററാണ്.,They are an editor.,ते संपादक आहेत.,He is the editor.,तिनीहरू सम्पादक हुन्।,They are editors.,ਉਹ ਇੱਕ ਸੰਪਾਦਕ ਹਨ.,He is an editor.,اهي ايڊيٽر آهن.,These are editors.,அவர்கள் ஒரு ஆசிரியர்.,They are a teacher.,వారు సంపాదకులు.,They are the editors.,وہ ایک ایڈیٹر ہیں۔,He is an editor.
They are an electrician.,তারা একজন বৈদ্যুতিনবিদ।,They are an electron.,તેઓ ઇલેક્ટ્રિશિયન છે.,He is an electrician.,वे एक इलेक्ट्रीशियन हैं।,He is an electrician.,ಅವರು ಎಲೆಕ್ಟ್ರಿಷಿಯನ್.,He's an electrician.,അവർ ഒരു ഇലക്ട്രീഷ്യനാണ്.,They are an electrician.,ते एक इलेक्ट्रिशियन आहेत.,He is an electrician.,तिनीहरू इलेक्ट्रीशियन हुन्।,They are electricians.,ਉਹ ਇਕ ਇਲੈਕਟ੍ਰੀਸ਼ੀਅਨ ਹਨ.,He is an electrician.,اهي هڪ اليڪٽرڪ برقي آهن.,They are an electrician.,அவர்கள் எலக்ட்ரீஷியன்.,They are electricians.,వారు ఎలక్ట్రీషియన్.,They are electricians.,وہ ایک الیکٹریشن ہیں۔,She is an electrician.
They are an EMT specialist.,তারা একটি ইএমটি বিশেষজ্ঞ।,They are an EMT specialist.,તેઓ ઇએમટી નિષ્ણાત છે.,He is an EMT specialist.,वे एक ईएमटी विशेषज्ञ हैं।,He is an EMT specialist.,ಅವರು ಇಎಂಟಿ ತಜ್ಞರು.,They are EMT experts.,അവർ ഒരു ഇ എം ടി സ്പെഷ്യലിസ്റ്റാണ്.,They are an EMT specialist.,ते ईएमटी तज्ञ आहेत.,He is an EMT expert.,तिनीहरू EMT विशेषज्ञ हुन्।,They are EMT specialists.,ਉਹ ਇੱਕ ਈਐਮਟੀ ਮਾਹਰ ਹਨ.,He is an EMT specialist.,اهي اي ايم ٽي ماهر آهن.,They are EMT experts.,அவர்கள் ஒரு EMT நிபுணர்.,They are an EMT expert.,వారు EMT స్పెషలిస్ట్.,They are EMT Specialist.,وہ ایک EMT ماہر ہیں۔,He is an EMT specialist.
They are a farmer.,তারা কৃষক।,They are farmers.,તેઓ ખેડૂત છે.,He is a farmer.,वे एक किसान हैं।,He is a farmer.,ಅವರು ಕೃಷಿಕರು.,They are agriculturists.,അവർ ഒരു കർഷകനാണ്.,They are a farmer.,ते एक शेतकरी आहेत.,He is a farmer.,तिनीहरू किसान हुन्।,They are farmers.,ਉਹ ਇੱਕ ਕਿਸਾਨ ਹਨ.,He is a farmer.,اهي هڪ زميندار آهن.,They are a landowner.,அவர்கள் ஒரு விவசாயி.,They are a farmer.,వారు రైతు.,They are a farmer.,وہ کسان ہیں۔,He is a farmer.
They are a filmmaker.,তারা একজন চলচ্চিত্র নির্মাতা।,They are a filmmaker.,તેઓ એક ફિલ્મ નિર્માતા છે.,He is a filmmaker.,वे एक फिल्म निर्माता हैं।,He is a film producer.,ಅವರು ಚಲನಚಿತ್ರ ನಿರ್ಮಾಪಕರು.,They are filmmakers.,അവർ ഒരു ചലച്ചിത്രകാരനാണ്.,They are a filmmaker.,ते एक चित्रपट निर्माते आहेत.,He is a filmmaker.,तिनीहरू एक फिल्म निर्माता छन्।,He is a filmmaker.,ਉਹ ਇੱਕ ਫਿਲਮ ਨਿਰਮਾਤਾ ਹਨ.,He is a filmmaker.,اهي هڪ فلم ساز ٺاهيندڙ آهن.,He is a filmmaker.,அவர்கள் ஒரு திரைப்பட தயாரிப்பாளர்.,They are a filmmaker.,వారు చిత్రనిర్మాత.,They are filmmakers.,وہ ایک فلمساز ہیں۔,He is a filmmaker.
They are a firefighter.,তারা একটি দমকলকর্মী।,They are a firefighter.,તેઓ ફાયર ફાઇટર છે.,They are firefighters.,वे एक अग्निशामक हैं।,He is a firefighter.,ಅವರು ಅಗ್ನಿಶಾಮಕ ಸಿಬ್ಬಂದಿ.,They are firefighters.,അവർ ഒരു അഗ്നിശമന സേനാംഗമാണ്.,They are a firefighter.,ते अग्निशामक आहेत.,They are firefighters.,तिनीहरू फायर फाइटर हुन्।,They are firefighters.,ਉਹ ਅੱਗ ਬੁਝਾਉਣ ਵਾਲੇ ਹਨ.,They are fire extinguishers.,اهي فائر فائائيندڙ آهن.,They are firefighters.,அவர்கள் ஒரு தீயணைப்பு வீரர்.,They are a firefighter.,వారు అగ్నిమాపక సిబ్బంది.,They are firefighters.,وہ فائر فائٹر ہیں۔,They are firefighters.
They are a fisherman.,তারা একজন জেলে।,They are a fisherman.,તેઓ માછીમાર છે.,They are fishermen.,वे एक मछुआरे हैं।,He is a fisherman.,ಅವರು ಮೀನುಗಾರ.,He is a fisherman.,അവർ ഒരു മത്സ്യത്തൊഴിലാളിയാണ്.,They are a fisherman.,ते एक मच्छीमार आहेत.,He is a fisherman.,तिनीहरू मछुवा हुन्।,They are fishermen.,ਉਹ ਇੱਕ ਮਛੇਰੇ ਹਨ.,He is a fisherman.,اهي هڪ مڇي ماريندڙ آهن.,They are a fisherman.,அவர்கள் ஒரு மீனவர்.,They are a fisherman.,వారు ఒక జాలరి.,They are a fisherman.,وہ ایک ماہی گیر ہیں۔,He is a fisherman.
They are a flight attendant.,তারা একটি ফ্লাইট অ্যাটেন্ডেন্ট।,They are a flight attendant.,તેઓ ફ્લાઇટ એટેન્ડન્ટ છે.,They are flight attendants.,वे फ्लाइट अटेंडेंट हैं।,They are flight attendants.,ಅವರು ಫ್ಲೈಟ್ ಅಟೆಂಡೆಂಟ್.,He's a flight attendant.,അവർ ഒരു ഫ്ലൈറ്റ് അറ്റൻഡന്റാണ്.,They are a flight attendant.,ते फ्लाइट अटेंडंट आहेत.,They are flight attendants.,तिनीहरू एक उडान परिचर हुन्।,They are a flight attendant.,ਉਹ ਇੱਕ ਫਲਾਈਟ ਅਟੈਂਡੈਂਟ ਹਨ.,He is a flight attendant.,اهي هڪ پرواز ۾ شرڪت ڪندڙ آهن.,They are participants in a flight.,அவர்கள் ஒரு விமான உதவியாளர்.,They are an flight attendant.,వారు ఫ్లైట్ అటెండెంట్.,They are flight attendants.,وہ فلائٹ اٹینڈنٹ ہیں۔,She is a flight attendant.
They are a geneticist.,তারা একজন জেনেটিক বিশেষজ্ঞ।,They are a geneticist.,તેઓ આનુવંશિકતા છે.,They are heredity.,वे एक आनुवंशिकीविद् हैं।,He is a geneticist.,ಅವರು ತಳಿವಿಜ್ಞಾನಿ.,He is a geneticist.,അവർ ഒരു ജനിതകശാസ്ത്രജ്ഞനാണ്.,They are a geneticist.,ते अनुवंशशास्त्रज्ञ आहेत.,They are geneticists.,तिनीहरू आनुवंशिक विज्ञ हुन्।,They are geneticists.,ਉਹ ਜੈਨੇਟਿਕਸਿਸਟ ਹਨ.,They are geneticists.,اهي هڪ جينياتياتڪار آهن.,He is a geneticist.,அவர்கள் ஒரு மரபியலாளர்.,They are a geneticist.,వారు జన్యు శాస్త్రవేత్త.,They are geneticists.,وہ جینیات کے ماہر ہیں۔,He is a geneticist.
